,hour,station,interval,mu,sigma,ks_statistic,ks_pvalue,n_samples
173,2,SFE,100-150,13.22050754385965,16.575020053303597,0.09323678189767837,0.669911367772427,57
174,2,SFE,150-250,,,,,0
175,2,SAG,0-25,0.5853547600916076,7.679228370584677,0.05608314768710787,5.625239483144313e-09,3122
176,2,SAG,25-50,-2.462086434782609,9.850818932800976,0.032439763241833675,0.1432732054642557,1242
177,2,SAG,50-100,-0.9065734713375793,11.517031646235422,0.0179240727989895,0.8654252094080053,1099
178,2,SAG,100-150,,,,,0
179,2,SAG,150-250,,,,,0
180,2,CUT,0-25,3.3431811230804045,7.177816549461136,0.08413955487659724,2.9409562301609568e-27,4353
181,2,CUT,25-50,-1.7247972802547773,10.600440618652629,0.016229382700363004,0.6493259440183601,2041
182,2,CUT,50-100,-5.369590309603761,13.955017844315035,0.037065550877448616,0.0325963350447086,1489
183,2,CUT,100-150,,,,,1
184,2,CUT,150-250,,,,,0
185,2,PED,0-25,-2.6296785109065297,8.410842472957178,0.0516587851584549,1.838336731842921e-09,3890
186,2,PED,25-50,-4.017957913067553,10.559816229548504,0.019124304318143215,0.5173603945863074,1806
187,2,PED,50-100,-1.2818259290140845,14.169869796835872,0.031666185253618195,0.055682416783640165,1775
188,2,PED,100-150,1.1802451458333332,17.740121443180225,0.046423734155146446,0.6615064205817172,240
189,2,PED,150-250,,,,,0
190,2,TAH,0-25,2.73552872844523,7.107536693048553,0.05403762460348971,1.2689335251284163e-07,2830
191,2,TAH,25-50,-3.3026548513761473,11.485705346226807,0.03058438145117426,0.011964087860932376,2725
192,2,TAH,50-100,-11.630612827738029,15.088791822637232,0.021685333788545202,0.35491691434832295,1817
193,2,TAH,100-150,,,,,0
194,2,TAH,150-250,,,,,0
195,2,GAM,0-25,3.92079031727775,8.566314114262443,0.06972252633273501,2.8177400148978474e-17,3982
196,2,GAM,25-50,-2.837474940876657,11.709818796057618,0.016561358942890847,0.64857206057179,1962
197,2,GAM,50-100,-6.440822030567685,15.328468683537281,0.019259541782451095,0.4990037770663872,1832
198,2,GAM,100-150,-6.457560323943662,18.421435517478738,0.09239964848005722,0.5482621903151108,71
199,2,GAM,150-250,,,,,0
200,2,IZT,0-25,0.9272831120544395,7.146062793799713,0.08447463768198876,3.472703228829949e-29,4629
201,2,IZT,25-50,-2.5199528832891245,10.436062574687407,0.020738714242862333,0.5286087897768371,1508
202,2,IZT,50-100,1.0785225851190474,13.343597625367643,0.026749162849725006,0.1773574065626331,1680
203,2,IZT,100-150,6.765736790909091,14.924195769001539,0.03048878968070079,0.9998827016394182,110
204,2,IZT,150-250,,,,,0
205,2,CCA,0-25,1.4543128965,7.674810985030149,0.04108426363378603,2.6474629285145203e-06,4000
206,2,CCA,25-50,-0.7852787190209076,9.696142158255537,0.018971630375933635,0.4746933379600128,1961
207,2,CCA,50-100,0.5785986069103654,14.0692386237008,0.013881285367407625,0.830995143528894,1997
208,2,CCA,100-150,7.2022637751937975,14.867563208742482,0.05240176885144299,0.8520706926878566,129
209,2,CCA,150-250,,,,,0
210,2,HGM,0-25,0.28354582802738354,7.655146821547986,0.058870270299353045,2.528986845133491e-12,3944
211,2,HGM,25-50,1.0157362570836215,9.832484769178198,0.025262056927009557,0.30904444531325437,1447
212,2,HGM,50-100,7.009753032786886,13.584956118476745,0.03134771322521429,0.0769170285619859,1647
213,2,HGM,100-150,17.651546189591077,14.993316565567671,0.04906050034237697,0.5205916729924225,269
214,2,HGM,150-250,,,,,0
215,2,LPR,0-25,3.448454910422932,7.829066182153911,0.08611068710577585,6.619182349175856e-28,4256
216,2,LPR,25-50,4.583732844548774,11.890193148882602,0.031406508283373324,0.0446038434244449,1917
217,2,LPR,50-100,7.618000074846625,15.960596574162704,0.042712630372045535,0.00507014156380359,1630
218,2,LPR,100-150,0.634470928571428,20.284367582396996,0.06457596457931869,0.9139308671940292,70
219,2,LPR,150-250,,,,,0
220,2,MGH,0-25,2.2809371165475403,7.605588335176676,0.053153494759796915,1.4292540647440548e-11,4533
221,2,MGH,25-50,-0.5586324809917353,10.668245426310827,0.01901025230591924,0.5219106255744683,1815
222,2,MGH,50-100,1.5140558413994172,14.197909728845872,0.01741434625843208,0.6690595200457867,1715
223,2,MGH,100-150,9.529990666666666,17.027280274618104,0.09187291575816814,0.7174288003025258,54
224,2,MGH,150-250,,,,,0
225,2,CAM,0-25,-2.0934110413016906,7.649125272849834,0.10462899226130357,2.956209974795996e-25,2602
226,2,CAM,25-50,-4.8605091488833745,13.34022889802894,0.01799422514738347,0.9523451995392129,806
227,2,CAM,50-100,-1.8932439156883671,15.510670910611097,0.021917421979664953,0.7503159754292537,937
228,2,CAM,100-150,-6.402751897959184,21.424350257983292,0.1026419449756838,0.2364349448905798,98
229,2,CAM,150-250,,,,,0
230,2,FAC,0-25,-1.377035174735358,8.026347630868884,0.06350626591108466,1.3176287998179136e-16,4610
231,2,FAC,25-50,-3.7800806756594723,10.474141317065712,0.03452312123024581,0.03664776391212554,1668
232,2,FAC,50-100,-2.4912579322033896,14.038922395937405,0.025594391512087256,0.2434600988739425,1593
233,2,FAC,100-150,2.8913386222222233,19.399234308745694,0.09782681808641691,0.745560029556843,45
234,2,FAC,150-250,,,,,0
235,2,TLA,0-25,-0.6287913291349548,6.752418961583666,0.07296022063706431,4.802659136993039e-24,5098
236,2,TLA,25-50,-3.0828366228727027,9.744546514646348,0.033625574429370086,0.0705391432298833,1469
237,2,TLA,50-100,1.3063164301634473,12.355792600998385,0.015241252848443687,0.9084821337550475,1346
238,2,TLA,100-150,16.79013859259259,14.9603323575578,0.09041386930992307,0.9657425445201032,27
239,2,TLA,150-250,,,,,0
240,2,MER,0-25,-1.5662612723743565,7.395598331262837,0.0739185458184779,8.577682296889286e-23,4703
241,2,MER,25-50,-5.181047957072485,11.523570481027521,0.016836523498185207,0.8087944190896215,1421
242,2,MER,50-100,-0.19190480358285322,14.235068309887739,0.024445629929095825,0.3027946585247936,1563
243,2,MER,100-150,2.169752308270677,17.675563738718395,0.0575486769885869,0.7483221317471924,133
244,2,MER,150-250,,,,,0
245,2,XAL,0-25,-0.02339682924492391,6.834772396794754,0.09102345456470562,1.5426536610209995e-34,4728
246,2,XAL,25-50,-1.4225827488986786,9.922660349253995,0.044511642127962436,0.0014519235936760885,1816
247,2,XAL,50-100,0.946188600400267,13.427347351269352,0.05346759514442295,0.00036436963331363533,1499
248,2,XAL,100-150,,,,,1
249,2,XAL,150-250,,,,,0
250,2,LLA,0-25,-0.11924424565199483,7.067956949763179,0.05536572494481656,9.943978740307558e-13,4612
251,2,LLA,25-50,-2.7735967111597373,9.960775113275712,0.02263410349351136,0.3016844634610081,1828
252,2,LLA,50-100,1.6011414564505568,12.02954351869826,0.020168784882622914,0.5566286475289078,1527
253,2,LLA,100-150,13.26273589473684,13.662787175723466,0.07919042843768653,0.9557900512147504,38
254,2,LLA,150-250,,,,,0
255,2,TLI,0-25,-0.1178029833832578,7.494320070633643,0.07669872073485234,6.715725881408086e-22,4193
256,2,TLI,25-50,-3.6276913161407762,10.700230160614788,0.023107660117266032,0.3372130968030902,1648
257,2,TLI,50-100,-3.679357536520584,14.841444119038774,0.021691997063390284,0.47131570100127684,1506
258,2,TLI,100-150,0.15761035000000093,21.627697638841344,0.1075194290348172,0.29201595600598,80
